Pcode,Locality,State,Comments,Category,Longitude,Latitude
0880,GUNYANGARA,NT,,"Delivery Area",136.704112,-12.223511
0880,NHULUNBUY,NT,,"Delivery Area",136.763290,-12.203861
0880,YIRRKALA,NT,,"Delivery Area",136.877339,-12.246195
0881,NHULUNBUY,NT,"PO BOXES & BAGS","Post Office Boxes",,
0885,ALYANGULA,NT,,"Delivery Area",136.420721,-13.852283
0886,JABIRU,NT,,"Delivery Area",132.837281,-12.669915
0906,WINNELLIE,NT,"PO BOXES",LVR,,
0907,WINNELLIE,NT,"PO BOXES",LVR,,
0909,"CHARLES DARWIN UNIVERSITY",NT,,LVR,,
1005,SYDNEY,NSW,,"Post Office Boxes",,
1007,SYDNEY,NSW,,"Post Office Boxes",,
1008,SYDNEY,NSW,,"Post Office Boxes",,
1009,SYDNEY,NSW,,"Post Office Boxes",,
1044,SYDNEY,NSW,"PO BOXES","Post Office Boxes",,
1100,SYDNEY,NSW,,LVR,,
1131,SYDNEY,NSW,,"Post Office Boxes",,
1199,SYDNEY,NSW,"PO BOXES","Post Office Boxes",,
1214,"AUSTRALIA SQUARE",NSW,,"Post Office Boxes",,
1215,"AUSTRALIA SQUARE",NSW,"PO BOXES & LOCKED BAGS","Post Office Boxes",,
1219,"GROSVENOR PLACE",NSW,,"Post Office Boxes",,
1220,"GROSVENOR PLACE",NSW,"PO BOXES & LOCKED BAGS","Post Office Boxes",,
1224,"ROYAL EXCHANGE",NSW,,"Post Office Boxes",,
1225,"ROYAL EXCHANGE",NSW,"PO BOXES & LOCKED BAGS","Post Office Boxes",,
1229,"QUEEN VICTORIA BUILDING",NSW,,"Post Office Boxes",,
1230,"QUEEN VICTORIA BUILDING",NSW,"PO BOXES & LOCKED BAGS","Post Office Boxes",,
1231,"SYDNEY SOUTH",NSW,"SYDNEY WATER",LVR,,
1234,"SYDNEY SOUTH",NSW,"PO BOXES","Post Office Boxes",,
1235,"SYDNEY SOUTH",NSW,"PO BOXES & LOCKED BAGS","Post Office Boxes",,
1238,HAYMARKET,NSW,"HEAVY RECIPIENTS","Post Office Boxes",,
1239,HAYMARKET,NSW,,LVR,,
1240,HAYMARKET,NSW,"PO BOXES & LOCKED BAGS","Post Office Boxes",,
1291,SYDNEY,NSW,"LOCKED BAGS",LVR,,
1292,SYDNEY,NSW,"LOCKED BAGS","Post Office Boxes",,
1295,SYDNEY,NSW,"LOCKED BAGS","Post Office Boxes",,
1297,SYDNEY,NSW,"LOCKED BAGS","Post Office Boxes",,
1298,SYDNEY,NSW,"LOCKED BAGS","Post Office Boxes",,
1300,DARLINGHURST,NSW,"PO BOXES & LOCKED BAGS","Post Office Boxes",,
